1	"type"
39	"ESTJ"
42	"ESFJ"
48	"ESFP"
89	"ESTP"
166	"ISFJ"
190	"ENFJ"
205	"ISTJ"
231	"ENTJ"
271	"ISFP"
337	"ISTP"
675	"ENFP"
685	"ENTP"
1091	"INTJ"
1304	"INTP"
1470	"INFJ"
1832	"INFP"
